site;trial;current;frequency;pulse_width;duration;charge_per_pulse;charge_per_trial;rating;phosphene_area_degree;cortical_area_individual;cortical_area_formula
1;1;5;50;200;1;1;50;?;45;22.5;20.4
1;2;5;10;1000;1;5;50;?;15;4.1;4.7
1;3;5;50;1000;1;5;250;?;61.6;74.4;74.3
1;4;2;10;1000;1;2;20;?;35.3;14.5;14.1
1;5;2;50;1000;1;2;100;?;6.9;0;2.9
1;6;2;10;200;1;4;4;?;0.5;0;0.2
1;7;5;10;200;1;1;10;?;26.1;9.3;9.1
1;8;2;50;200;1;4;20;?;23;7.8;7.7
1;9;2;10;1000;1;2;20;?;32.3;11.1;12.2
1;10;2;50;200;1;4;20;?;4.6;0;1.7
1;11;2;50;1000;1;2;100;?;127.9;43.2;45.3
1;12;5;50;1000;1;5;250;?;124.1;74.9;82
1;13;5;10;1000;1;5;50;?;25;13.5;11.7
1;14;2;10;200;1;4;4;?;9.2;2.9;3.6
1;15;5;10;200;1;1;10;?;106.1;42.1;44.7
1;16;5;50;200;1;1;50;?;167.4;69.1;76.2
1;17;2;100;200;1;4;40;?;108.1;40.1;43.9
1;18;5;100;200;1;1;100;?;286.3;153.8;146.7
2;1;2;50;400;5;8;20;?;10;48;36.3
2;2;4;50;1000;5;4;100;5;4.6;55;37
2;3;4;10;1000;5;4;20;2;1.6;4.5;5.5
2;4;2;50;1000;5;2;50;6;5.9;28.6;20.4
2;5;4;10;400;5;16;8;?;7.3;27.4;20.8
2;6;Sham;;;;;;?;?;?;?
2;7;4;50;400;5;16;40;6;10;46.4;35.2
2;8;Sham;;;;;;?;?;?;?
2;9;4;100;400;2;16;32;6;5.3;14.1;12.6
2;10;2;10;1000;5;2;10;2;1.9;11.1;8.5
2;11;2;10;400;5;8;4;1;2.2;12;8.4
2;12;4;10;1000;5;4;20;2;3.4;23.3;20.2
2;13;2;50;400;5;8;20;5;5.4;27.7;19.9
2;14;2;100;400;5;8;40;5;4;20.1;16
2;15;Sham;;;;;;?;?;?;?
2;16;2;10;1000;5;2;10;1;3.3;23.7;17.9
2;17;4;10;400;5;16;8;1;2.4;20;16.7
2;18;2;10;400;5;8;4;1;2.8;18;15.5
2;19;2;50;1000;5;2;50;5;4.7;18.9;15.4
2;20;Sham;;;;;;?;?;?;?
2;21;4;50;400;5;16;40;4;4.8;22.9;17.5
2;22;2;50;1000;2;2;20;4;3.9;19.4;14.5
2;23;2;100;400;2;8;16;4;6.4;29.5;22
2;24;4;50;1000;2;4;40;4;6;26.2;19.6
2;25;4;100;400;2;16;32;5;4.2;21.5;15.9
3;1;Sham;;;;;;?;?;?;?
3;2;5;10;1000;1;5;50;2.5;0.6;11.9;7.1
3;3;5;50;1000;1;5;250;10;13.3;235.3;159.1
3;4;5;5;1000;1;5;25;1;0.3;0;5.8
3;5;5;100;1000;1;5;500;10;15.2;200.3;123.9
3;6;5;100;200;1;1;100;7;?;?;?
3;7;Sham;;;;;;?;?;?;?
3;8;5;50;200;1;1;50;8;7.2;75;45
3;9;5;10;200;1;1;10;1;?;?;?
3;10;Sham;;;;;;?;?;?;?
3;11;5;5;200;1;1;5;1;2;25.4;16.5
3;12;1;5;200;1;2;1;1;?;?;?
3;13;2;100;200;1;4;40;8;4.4;58.7;33.3
3;14;2;50;200;1;4;20;7;2.2;39.9;24.4
3;15;2;10;200;1;4;4;1;2.9;69.9;41.5
3;16;2;10;1000;1;2;20;2;1.2;17.6;10.7
3;17;2;100;1000;1;2;200;10;20.8;294;194.5
3;18;Sham;;;;;;?;?;?;?
3;19;Sham;;;;;;?;?;?;?
3;20;2;5;1000;1;2;10;1;0.6;8.6;5.7
3;21;2;50;1000;1;2;100;8;6.7;81.1;49.5
4;1;2;50;200;1;4;20;?;0.2;13.7;10.5
4;2;2;10;200;1;4;4;?;0.1;7.8;5
4;3;2;10;200;1;4;4;?;0.02;0;1.3
4;4;2;50;200;1;4;20;?;0.1;10;8.7
4;5;2;100;200;1;4;40;?;0.5;21.3;21.1
4;6;2;10;1000;1;2;20;?;0.02;0;1.6
4;7;2;50;1000;1;2;100;?;0.5;14.8;13.8
4;8;2;10;1000;1;2;20;?;0.04;0;3.2
4;9;0.2;50;200;1;4;2;?;;;No phosphene
4;10;2;50;1000;1;2;100;?;0.3;20.7;18.7
4;11;5;10;200;1;1;10;?;0.1;5.1;3.2
4;12;5;50;200;1;1;50;?;0.6;27;25.9
4;13;5;100;200;1;1;100;?;1.2;42;52.7
4;14;5;10;1000;1;5;50;?;;;No phosphene
4;15;5;50;1000;1;5;250;?;1.9;79.9;78.5
4;16;5;10;200;1;1;10;?;0.01;0;1.1
4;17;5;50;200;1;1;50;?;0.6;45;63.2
4;18;5;100;200;1;1;100;?;1.2;46.4;48.3
4;19;5;10;1000;1;5;50;?;0.02;0;1
4;20;5;50;1000;1;5;250;?;1.4;67.4;78.4
5;1;1;50;200;1;2;10;?;;;No phosphene
5;2;3;50;200;1;6;30;8;0.1;7.2;5.5
5;3;3;10;200;1;6;6;2;;;Phosphene seen, drawing not obtained
5;4;3;100;200;1;6;60;10;;;Phosphene seen, drawing not obtained
5;5;3;20;200;1;6;12;2;;;Phosphene seen, drawing not obtained
5;6;Sham;;;;;;?;?;?;?
5;7;Sham;;;;;;?;?;?;?
5;8;3;20;1000;1;3;60;9;0.1;14.1;12.8
5;9;3;100;1000;1;3;300;10;0.2;37.2;26.1
5;10;Sham;;;;;;?;?;?;?
5;11;3;10;1000;1;3;30;3;0.1;13.4;10.1
5;12;3;50;1000;1;3;150;9;0.1;11.2;7.8
5;13;5;50;1000;1;5;250;9;0.4;62;47.2
5;14;5;50;1000;1;5;250;?;;;No phosphene
5;15;Sham;;;;;;?;?;?;?
5;16;5;10;1000;1;5;50;5;0.1;16.5;10.9
5;17;5;20;1000;1;5;100;9;0.2;30.3;31.7
5;18;4.84;100;1000;1;4.84;484;9;0.7;74.6;54.4
