pulse_width,frequency,train_duration,charge_per_phase,proportion_phosphene_perception,label
0.0001,300.0,0.166,0.0,0.0,fig2A
0.0001,300.0,0.166,1e-09,0.0,fig2A
0.0001,300.0,0.166,2e-09,0.1,fig2A
0.0001,300.0,0.166,3.0000000000000004e-09,0.0,fig2A
0.0001,300.0,0.166,4e-09,0.0,fig2A
0.0001,300.0,0.166,5e-09,0.2,fig2A
0.0001,300.0,0.166,6.000000000000001e-09,0.3,fig2A
0.0001,300.0,0.166,7.000000000000001e-09,0.3,fig2A
0.0001,300.0,0.166,8e-09,0.6,fig2A
0.0001,300.0,0.166,9.000000000000001e-09,0.8,fig2A
0.0001,300.0,0.166,1e-08,0.7,fig2A
0.00017,300.0,0.166,0.0,0.0,fig2A
0.00017,300.0,0.166,2e-09,0.0,fig2A
0.00017,300.0,0.166,4e-09,0.1,fig2A
0.00017,300.0,0.166,6.000000000000001e-09,0.3,fig2A
0.00017,300.0,0.166,7.000000000000001e-09,0.5,fig2A
0.00017,300.0,0.166,8e-09,0.9,fig2A
0.00017,300.0,0.166,1e-08,0.86,fig2A
0.00017,300.0,0.166,1.2000000000000002e-08,0.8,fig2A
0.00017,300.0,0.166,1.4000000000000001e-08,1.0,fig2A
0.00017,300.0,0.166,1.6e-08,1.0,fig2A
0.00017,300.0,0.166,1.8000000000000002e-08,1.0,fig2A
0.0004,300.0,0.166,0.0,0.0,fig2A
0.0004,300.0,0.166,4e-09,0.1,fig2A
0.0004,300.0,0.166,8e-09,0.0,fig2A
0.0004,300.0,0.166,1.2000000000000002e-08,0.3,fig2A
0.0004,300.0,0.166,1.6e-08,0.7,fig2A
0.0004,300.0,0.166,2e-08,1.0,fig2A
0.0004,300.0,0.166,2.4000000000000003e-08,1.0,fig2A
0.0004,300.0,0.166,2.8000000000000003e-08,0.9,fig2A
0.0004,300.0,0.166,3.6000000000000005e-08,1.0,fig2A
0.0004,300.0,0.166,4e-08,1.0,fig2A
0.0008,300.0,0.166,0.0,0.1,fig2A
0.0008,300.0,0.166,8e-09,0.1,fig2A
0.0008,300.0,0.166,1.6e-08,0.2,fig2A
0.0008,300.0,0.166,2.4000000000000003e-08,0.8,fig2A
0.0008,300.0,0.166,3.2e-08,0.8,fig2A
0.0008,300.0,0.166,4e-08,0.9,fig2A
0.00017,100.0,0.166,3.5000000000000003e-09,0.0,fig2B
0.00017,100.0,0.166,5e-09,0.0,fig2B
0.00017,100.0,0.166,7.000000000000001e-09,0.0,fig2B
0.00017,100.0,0.166,8.5e-09,0.4,fig2B
0.00017,100.0,0.166,1e-08,0.3,fig2B
0.00017,100.0,0.166,1.2000000000000002e-08,0.4,fig2B
0.00017,100.0,0.166,1.35e-08,0.4,fig2B
0.00017,100.0,0.166,1.5000000000000002e-08,0.7,fig2B
0.00017,100.0,0.166,1.7e-08,0.5,fig2B
0.00017,200.0,0.166,0.0,0.2,fig2B
0.00017,200.0,0.166,1.8000000000000002e-09,0.2,fig2B
0.00017,200.0,0.166,3.5000000000000003e-09,0.0,fig2B
0.00017,200.0,0.166,5e-09,0.0,fig2B
0.00017,200.0,0.166,7.000000000000001e-09,0.1,fig2B
0.00017,200.0,0.166,8.5e-09,0.6,fig2B
0.00017,200.0,0.166,1e-08,0.9,fig2B
0.00017,200.0,0.166,1.2000000000000002e-08,0.65,fig2B
0.00017,200.0,0.166,1.35e-08,0.7,fig2B
0.00017,200.0,0.166,1.5000000000000002e-08,0.75,fig2B
0.00017,200.0,0.166,1.7e-08,1.0,fig2B
0.00017,300.0,0.166,0.0,0.0,fig2B
0.00017,300.0,0.166,1.8000000000000002e-09,0.0,fig2B
0.00017,300.0,0.166,3.5000000000000003e-09,0.1,fig2B
0.00017,300.0,0.166,5e-09,0.3,fig2B
0.00017,300.0,0.166,7.000000000000001e-09,0.5,fig2B
0.00017,300.0,0.166,8.5e-09,0.9,fig2B
0.00017,300.0,0.166,1e-08,0.88,fig2B
0.00017,300.0,0.166,1.2000000000000002e-08,0.8,fig2B
0.00017,300.0,0.166,1.35e-08,1.0,fig2B
0.00017,300.0,0.166,1.5000000000000002e-08,1.0,fig2B
0.00017,300.0,0.166,1.7e-08,1.0,fig2B
0.00017,300.0,0.05,0.0,0.0,fig2C
0.00017,300.0,0.05,1.7000000000000001e-09,0.0,fig2C
0.00017,300.0,0.05,3.4000000000000003e-09,0.0,fig2C
0.00017,300.0,0.05,5.1e-09,0.0,fig2C
0.00017,300.0,0.05,6.8000000000000005e-09,0.1,fig2C
0.00017,300.0,0.05,8.5e-09,0.1,fig2C
0.00017,300.0,0.05,1.02e-08,0.2,fig2C
