figure;pulse_width;frequency;amplitude (mA);train_duration;n_pulses
4;125;50;2.28;500;
4;250;50;1.74;500;
4;500;50;1.5;500;
4;1000;50;1.14;500;
4;2000;50;0.78;500;
4;250;50;3.8;0.5;1
4;500;50;3;1;1
4;1000;50;2.25;2;1
4;2000;50;1.9;4;1
5;250;12.5;2.7;500;
5;250;25;2.2;500;
5;250;50;1.9;500;
5;250;100;1.5;500;
5;250;200;1.03;500;
5;250;400;0.91;500;
5;250;800;0.87;500;
5;250;1600;0.83;500;
6;250;400;1.69;7.5;
6;250;100;1.72;30;
6;250;50;1.77;60;
6;250;25;1.96;120;
6;250;12.5;2.21;240;
6;250;50;5.8;0.5;1
6;250;50;2.7;20;2
6;250;50;2.15;60;4
6;250;50;1.85;180;10
6;250;50;1.7;480;25
6;250;50;1.8;980;50
6;250;50;1.75;1980;100
